rebalance_date,next_date,holdings,n_holdings,turnover,trade_cost,gross_return,net_return,nav
2025-01-02,2025-01-09,"600688.SH,601997.SH,600021.SH,601128.SH,601665.SH,002966.SZ,601991.SH,000883.SZ,002984.SZ,600008.SH",10,0.5,0.0013,-0.013746524861451193,-0.015046524861451194,0.9849534751385488
2025-01-09,2025-01-16,"600688.SH,601997.SH,600021.SH,601128.SH,601665.SH,601991.SH,000883.SZ,600008.SH,002966.SZ,001286.SZ",10,0.1,0.00026,0.008537166631862093,0.008277166631862093,0.9931060991769023
2025-01-16,2025-01-23,"600688.SH,600021.SH,601997.SH,601991.SH,601128.SH,000883.SZ,601665.SH,600008.SH,001286.SZ,002966.SZ",10,0.0,0.0,-0.008910191817554513,-0.008910191817554513,0.9842573333380528
2025-01-23,2025-02-07,"600688.SH,600021.SH,601991.SH,601997.SH,601665.SH,601128.SH,000883.SZ,600008.SH,001286.SZ,002966.SZ",10,0.0,0.0,0.02250865270691251,0.02250865270691251,1.0064116398283909
2025-02-07,2025-02-14,"600688.SH,601991.SH,600021.SH,601997.SH,601128.SH,601665.SH,600008.SH,000883.SZ,001286.SZ,601108.SH",10,0.1,0.00026,0.002870246879082694,0.0026102468790826943,1.0090386226703254
2025-02-14,2025-02-21,"600688.SH,601991.SH,600021.SH,601997.SH,601665.SH,600008.SH,000883.SZ,601128.SH,001286.SZ,002128.SZ",10,0.1,0.00026,-0.008822221762863458,-0.009082221762863458,0.9998743101319392
2025-02-21,2025-02-28,"601991.SH,600688.SH,600021.SH,601997.SH,601665.SH,002128.SZ,000883.SZ,001286.SZ,600642.SH,002966.SZ",10,0.2,0.00052,0.004039684505424202,0.0035196845054242015,1.0033935522486823
2025-02-28,2025-03-07,"601991.SH,600688.SH,601997.SH,600021.SH,002966.SZ,601665.SH,000883.SZ,601128.SH,600008.SH,002128.SZ",10,0.2,0.00052,0.020755887841010658,0.020235887841010658,1.02369811163238
2025-03-07,2025-03-14,"601991.SH,600688.SH,600021.SH,601997.SH,002966.SZ,601665.SH,000883.SZ,600008.SH,001286.SZ,600642.SH",10,0.2,0.00052,0.023587880786752523,0.023067880786752523,1.0473126576331395
2025-03-14,2025-03-21,"601991.SH,600688.SH,601997.SH,600021.SH,002966.SZ,000883.SZ,600008.SH,601665.SH,601128.SH,001286.SZ",10,0.1,0.00026,0.007926675624474643,0.007666675624474643,1.0553420640566191
