trade_date,code
20240628,300502.SZ
20240628,002028.SZ
20240628,601058.SH
20240628,688169.SH
20240628,600066.SH
20240628,002340.SZ
20240628,000933.SZ
20240628,601077.SH
20240628,000988.SZ
20240628,601168.SH
20240628,300394.SZ
20240628,002384.SZ
20240628,000423.SZ
20240628,000630.SZ
20240628,600418.SH
20240628,600988.SH
20240628,601233.SH
20240628,600157.SH
20240628,002625.SZ
20240628,600096.SH
20240628,601567.SH
20240628,000400.SZ
20240628,688777.SH
20240628,002156.SZ
20240628,002128.SZ
20240628,002273.SZ
20240628,601555.SH
20240628,002078.SZ
20240628,600885.SH
20240628,601128.SH
20240628,300207.SZ
20240628,002223.SZ
20240628,002532.SZ
20240628,600352.SH
20240628,600398.SH
20240628,002138.SZ
20240628,002966.SZ
20240628,002353.SZ
20240628,601108.SH
20240628,688617.SH
20240628,600765.SH
20240628,002185.SZ
20240628,600879.SH
20240628,002517.SZ
20240628,603606.SH
20240628,301236.SZ
20240628,600873.SH
20240628,688099.SH
20240628,601577.SH
20240628,600177.SH
20240628,600109.SH
20240628,600079.SH
20240628,002738.SZ
20240628,300003.SZ
20240628,600060.SH
20240628,300017.SZ
20240628,600497.SH
20240628,300136.SZ
20240628,603160.SH
20240628,603979.SH
20240628,002202.SZ
20240628,002739.SZ
20240628,689009.SH
20240628,000932.SZ
20240628,688120.SH
20240628,600985.SH
20240628,000683.SZ
20240628,600536.SH
20240628,002409.SZ
20240628,002465.SZ
20240628,600348.SH
20240628,002281.SZ
20240628,002444.SZ
20240628,000009.SZ
20240628,002008.SZ
20240628,000878.SZ
20240628,688122.SH
20240628,002436.SZ
20240628,300474.SZ
20240628,600642.SH
20240628,601615.SH
20240628,002797.SZ
20240628,000039.SZ
20240628,300054.SZ
20240628,601990.SH
20240628,600298.SH
20240628,300012.SZ
20240628,000066.SZ
20240628,600529.SH
20240628,601666.SH
20240628,002673.SZ
20240628,688525.SH
20240628,600839.SH
20240628,601179.SH
20240628,603596.SH
20240628,000831.SZ
20240628,000783.SZ
20240628,601717.SH
